candidate,mode,level,cases,mae,mred,rmse
joint_drop_14_no_round_lut,DIV,2,1000000,0.008272039122474274,0.008623495045953014,0.009726705178434726
scale_drop_16,DIV,2,1000000,0.00930408491173933,0.009597018614396277,0.0108771467253378
residual_drop_16,DIV,2,1000000,0.00825562420957006,0.00866490509907105,0.009700061850675781
joint_drop_16_no_round_lut,DIV,2,1000000,0.009238983106595504,0.009665911495614197,0.010838800402181534
baseline,DIV,3,1000000,0.0034015776455714845,0.003183534346352975,0.004574747499960464
scale_drop_2,DIV,3,1000000,0.003401597717527284,0.0031835511849991004,0.0045747990580190445
residual_drop_2,DIV,3,1000000,0.0034015721416331105,0.00318353193744684,0.0045747344966999915
joint_drop_2_no_round_lut,DIV,3,1000000,0.0034015563820736032,0.0031835182662069425,0.004574694927115084
scale_drop_4,DIV,3,1000000,0.0034016785474099767,0.0031836191129726503,0.004575006240866299
residual_drop_4,DIV,3,1000000,0.0034015505318955785,0.003183522348546279,0.004574683125518533
joint_drop_4_no_round_lut,DIV,3,1000000,0.003401615613640629,0.0031835766374801525,0.0045748505155738285
scale_drop_6,DIV,3,1000000,0.0034020119460816418,0.00318390156812018,0.004575853798621781
residual_drop_6,DIV,3,1000000,0.0034014640754308502,0.00318348079853417,0.0045744826713457355
joint_drop_6_no_round_lut,DIV,3,1000000,0.0034018380435271553,0.003183796222736461,0.004575437510105994
scale_drop_8,DIV,3,1000000,0.003403391545899096,0.003185081769826347,0.00457931961843564
residual_drop_8,DIV,3,1000000,0.003401132471739247,0.0031833631516942113,0.004573643861444559
joint_drop_8_no_round_lut,DIV,3,1000000,0.003402789651277144,0.0031847754675135105,0.0045778249082323854
scale_drop_10,DIV,3,1000000,0.0034089955170102963,0.0031898836815679446,0.004593342011445023
residual_drop_10,DIV,3,1000000,0.0033998816308265126,0.00318293243909656,0.004570462444763018
joint_drop_10_no_round_lut,DIV,3,1000000,0.003406736363418634,0.0031888083898815767,0.004587624583445668
scale_drop_12,DIV,3,1000000,0.0034327234480050844,0.003210481615099402,0.004650896801751954
residual_drop_12,DIV,3,1000000,0.0033962458754317995,0.0031821068633209877,0.004560502018205262
joint_drop_12_no_round_lut,DIV,3,1000000,0.0034253611059881276,0.0032075481165583517,0.0046304428313426885
scale_drop_14,DIV,3,1000000,0.00355296320372577,0.00332008178581426,0.004901084159281469
residual_drop_14,DIV,3,1000000,0.0034075279320451343,0.00320854698977807,0.004551924458672381
joint_drop_14_no_round_lut,DIV,3,1000000,0.003566063904738859,0.0033598221344841024,0.004843694963060943
scale_drop_16,DIV,3,1000000,0.004580136700304984,0.00432669986704684,0.0061256566898758935
residual_drop_16,DIV,3,1000000,0.0038498826211853282,0.0037330515856756,0.005010533844187084
joint_drop_16_no_round_lut,DIV,3,1000000,0.004833789918342651,0.004716264767902481,0.006224553169986709
runtime_root,MUL,0,1000000,0.06250057195404408,0.03126089318988602,0.08333373142721966
runtime_root,MUL,1,1000000,0.015626945610370542,0.007600791035897356,0.02083444050471337
runtime_root,MUL,2,1000000,0.003912780261215162,0.001887797372049365,0.005212275466104757
runtime_root,MUL,3,1000000,0.0009986094337126256,0.000480180605239559,0.001317283927096439
runtime_root,DIV,0,1000000,0.04378631391755298,0.04291154416246733,0.06867221805124718
runtime_root,DIV,1,1000000,0.011988379438408026,0.0111501222743821,0.019627962317518084
runtime_root,DIV,2,1000000,0.00832066922905746,0.008637872512377184,0.009768402195984223
runtime_root,DIV,3,1000000,0.0035487683403233354,0.0033174732400998324,0.004890685539667051
l2_q08,DIV,2,1000000,0.004345819187255959,0.003917800737823636,0.006486962364014799
l2_root,DIV,2,1000000,0.003075875997548457,0.0028773228809152286,0.004358037728714118
l2_tuned_q07_y2,DIV,2,1000000,0.007506358902088328,0.007760997911324336,0.00843294805089967
l2_tuned_q07_y3,DIV,2,1000000,0.007506358902088328,0.007760997911324336,0.00843294805089967
l2_tuned_q07_y4,DIV,2,1000000,0.006631303836206887,0.007114967433075163,0.0076547634942756085
l2_tuned_q08_y2,DIV,2,1000000,0.003151807464492199,0.002951134912583327,0.004322693067829731
l2_tuned_q08_y2_scale_drop_8,DIV,2,1000000,0.003150139028175295,0.0029494974435587454,0.004322621095817858
l2_tuned_q08_y2_scale_drop_10,DIV,2,1000000,0.003145128524780588,0.0029445778029251277,0.004322519740567384
l2_tuned_q08_y2_scale_drop_12,DIV,2,1000000,0.0031263460033892562,0.0029261727402277405,0.00432396594469909
l2_tuned_q08_y2_scale_drop_14,DIV,2,1000000,0.003074176493747495,0.0028760677253689437,0.004359259145437761
l2_tuned_q08_y2_scale_drop_16,DIV,2,1000000,0.003277541429018211,0.003088289913780911,0.004932200259627768
l2_tuned_q08_y2_res8_scale14,DIV,2,1000000,0.003074638757891714,0.0028764199871468585,0.004358772317864513
