top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error
input_l3_mask_b7,3,mask,7,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805
input_l3_mask_b7,3,mask,7,16,16,8,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,-0.0011736854931662872
input_l3_mask_b7,3,mask,7,16,16,8,boundaries,1733,0.004249471745443175,0.003116184236718168,0.014325103149962465,-0.0022189470189971907
input_l3_mask_b7,3,mask,7,16,16,8,signed_safe,100,1409.6641904164412,0.0025282679955665344,0.010990695619177452,112.64602045815906
input_l3_narrow_b7,3,narrow,7,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805
input_l3_narrow_b7,3,narrow,7,16,16,8,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,-0.0011736854931662872
input_l3_narrow_b7,3,narrow,7,16,16,8,boundaries,1733,0.004249471745443175,0.003116184236718168,0.014325103149962465,-0.0022189470189971907
input_l3_narrow_b7,3,narrow,7,16,16,8,signed_safe,100,1409.6641904164412,0.0025282679955665344,0.010990695619177452,112.64602045815906
input_l3_mask_b8,3,mask,8,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805
input_l3_mask_b8,3,mask,8,16,16,8,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,-0.0011736854931662872
input_l3_mask_b8,3,mask,8,16,16,8,boundaries,1733,0.004249471745443175,0.003116184236718168,0.014325103149962465,-0.0022189470189971907
input_l3_mask_b8,3,mask,8,16,16,8,signed_safe,100,1409.6641904164412,0.0025282679955665344,0.010990695619177452,112.64602045815906
input_l3_narrow_b8,3,narrow,8,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805
input_l3_narrow_b8,3,narrow,8,16,16,8,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,-0.0011736854931662872
input_l3_narrow_b8,3,narrow,8,16,16,8,boundaries,1733,0.004249471745443175,0.003116184236718168,0.014325103149962465,-0.0022189470189971907
input_l3_narrow_b8,3,narrow,8,16,16,8,signed_safe,100,1409.6641904164412,0.0025282679955665344,0.010990695619177452,112.64602045815906
