candidate,reference,mred_change_pct,rmse_change_pct,area_change_pct,delay_change_pct,power_change_pct,adp_change_pct,both_errors_no_worse,strict_adp_win
stdm_tune_00_binary,oadm_fixed_l3_div_specialized,62.270061310154425,86.29543432014921,-15.746815698178484,-4.717847534796471,11.557103962384252,-19.72175247674951,False,False
stdm_tune_00_csd,oadm_fixed_l3_div_specialized,62.270061310154425,86.29543432014921,-9.475105950418373,-7.153033110605589,19.010117261445902,-15.950381595125574,False,False
stdm_tune_05_binary,oadm_fixed_l3_div_specialized,12.355197590494704,14.992844769442915,54.97877252728791,2.049657795417148,154.04888271337788,58.15530701963527,False,False
stdm_tune_05_csd,oadm_fixed_l3_div_specialized,12.355197590494704,14.992844769442915,47.47201845203477,3.684905678746331,123.16599909605226,52.9062232345356,False,False
stdm_input_mask6,oadm_fixed_l3_div_specialized,83.40125552695703,83.37052012773319,-5.69278264051637,-1.3496717497055055,-8.559689924339331,-6.965620511150695,False,False
stdm_input_mask6_narrow,oadm_fixed_l3_div_specialized,83.40125552695703,83.37052012773319,-15.322269138571908,-11.731986798594185,-23.808233597364392,-25.25664934458377,False,False
stdm_input_effective17,oadm_fixed_l3_div_specialized,83.40125552695703,83.37052012773319,-14.917020308233042,-16.515387036790653,-22.797466548538026,-28.968803706762348,False,False
stdm_tune_00_midpoint,oadm_fixed_l3_div_specialized,62.270061310154425,86.29543432014921,-33.3847932657254,-11.912418992110963,-30.048230528257957,-41.32027580437311,False,False
stdm_tune_04_midpoint,oadm_fixed_l3_div_specialized,8.54874412835882,31.465363148890013,-20.764183549990932,-10.09868602526699,-9.639751642151772,-28.765959872834213,False,False
stdm_tune_05_midpoint,oadm_fixed_l3_div_specialized,12.355197590494704,14.992844769442915,1.0034738276633925,-9.309781956131612,-24.695397179539135,-8.399729353810537,False,False
stdm_tune_00,fpd2d_8x8_t17_milp,-14.158797644461806,-5.0136471328883765,71.49362339805978,40.76526661504365,226.96148215457617,141.40345620407774,True,False
stdm_tune_01,fpd2d_8x8_t17_milp,-2.840586437233661,-0.2114560356892503,99.63569900324745,55.217751194894674,276.2653339391186,209.87004257504944,True,False
stdm_tune_02,fpd2d_8x8_t17_milp,-36.56747337681387,-27.532902337681044,92.07650107159292,49.67771221062187,287.0584077944369,187.49571249817086,True,False
stdm_tune_03,fpd2d_8x8_t17_milp,-26.902500898545846,-32.318459954183666,125.13660964822063,57.90392779899069,294.448483012772,255.49954954802178,True,False
stdm_tune_04,fpd2d_8x8_t17_milp,-42.57748696876288,-32.96982602158794,105.19125486097978,50.30840297989374,324.05977081124735,208.41969823594232,True,False
stdm_tune_05,fpd2d_8x8_t17_milp,-40.56386511355442,-41.36866010525776,129.87249300673267,62.10728685482365,303.1440254429804,272.64006163875854,True,False
stdm_tune_06,fpd2d_8x8_t17_milp,707.4429781806257,726.8481070600243,-34.608379274574766,-6.12800726282342,24.32328739461862,-38.61558254190677,False,False
stdm_tune_07,fpd2d_8x8_t17_milp,604.2975054563383,605.1967499777013,-18.71584774606061,11.238685215348077,30.14993184915946,-9.580577744276109,False,False
stdm_tune_08,fpd2d_8x8_t17_milp,632.5671682901313,608.3416620589155,-10.29143959572223,9.783984406290891,38.30582058660204,-1.5143680346596633,False,False
stdm_tune_09,fpd2d_8x8_t17_milp,622.3576993288581,630.9307109192708,-6.739526823852982,12.909668633681349,45.81553839164017,5.30009122939088,False,False
stdm_tune_10,fpd2d_8x8_t17_milp,103.95773066228332,136.74206792266617,42.98724793455306,44.369442738511665,233.88762683628653,106.42989303024825,False,False
stdm_tune_11,fpd2d_8x8_t17_milp,82.91932800089106,85.7879893368111,52.59562768347512,39.82483778804304,172.47008935332423,113.3665888800652,False,False
stdm_tune_12,fpd2d_8x8_t17_milp,83.4901323198318,79.01750465127901,83.24225749384632,40.21574857814212,203.1293856327932,156.93450305648335,False,False
stdm_tune_13,fpd2d_8x8_t17_milp,-56.75562167903991,-55.417397168936624,140.7103797968349,68.76451897145606,330.8102377707103,306.2337145784934,True,False
