level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,16,20,7,23,mred,60,0.043341800390609364,0.045118788428973725,0.05918852453701317,0.3436199109805724,0.2451539763353961,131
0,14,16,20,8,23,mse,121,0.044528062880841913,0.04636179116691931,0.05810890523122286,0.3381500769054105,0.23886359280485772,136
0,14,16,20,8,23,mred,119,0.04330674243577248,0.04496281724277165,0.06154254137122475,0.3490897450557343,0.25144435986593444,136
0,14,16,20,9,23,mse,243,0.04549129303061415,0.04732970886351151,0.058072489005303984,0.33541515986782955,0.23571840103958855,141
0,14,16,20,9,23,mred,239,0.04316471004395661,0.04488824741070732,0.06021367883351667,0.34635482801815337,0.24829916810066527,141
0,14,16,20,10,23,mse,485,0.044982133982189365,0.04681975719969504,0.058048302933638635,0.33678261838662005,0.23729099692222314,146
0,14,16,20,10,23,mred,477,0.04319061623191289,0.0448824550869276,0.06084128375372832,0.3477222865369438,0.24987176398329985,146
0,14,16,20,11,23,mse,970,0.044982133982189365,0.04681975719969504,0.058048302933638635,0.33678261838662005,0.23729099692222314,151
0,14,16,20,11,23,mred,955,0.043165283235351695,0.044873686622892234,0.060518125188222416,0.34703855727754856,0.2490854660419826,151
0,14,16,22,5,23,mse,16,0.08032980368965732,0.08733828986405434,0.09996382304864558,0.5666495566209466,0.5243697186387789,111
0,14,16,22,6,23,mse,33,0.07854215064995951,0.08508929416998857,0.09650669041587653,0.5531073552653512,0.5095062723462406,114
0,14,16,22,7,23,mse,66,0.07854215064995951,0.08508929416998857,0.09650669041587653,0.5531073552653512,0.5095062723462406,117
0,14,16,22,8,23,mse,131,0.07823328446567743,0.08496517703548906,0.09634597959722807,0.55649290560425,0.5132221339193751,120
0,14,16,22,9,23,mse,263,0.0783292319877208,0.08497262788203758,0.09633956214483697,0.5548001304348006,0.5113642031328078,123
0,14,16,22,9,23,mred,262,0.07823328446567743,0.08496517703548906,0.09634597959722807,0.55649290560425,0.5132221339193751,123
0,14,16,22,10,23,mse,525,0.07826986446854427,0.08495852528067242,0.09632105783795154,0.5556465180195254,0.5122931685260915,126
0,14,16,22,11,23,mse,1050,0.07826986446854427,0.08495852528067242,0.09632105783795154,0.5556465180195254,0.5122931685260915,129
0,14,18,14,5,23,mse,15,0.05257600854162498,0.053151276316089555,0.06064600352955595,0.2577523016908393,0.17313921704701032,139
0,14,18,14,5,23,mred,14,0.04900547969856403,0.04733966876130394,0.07454747462271272,0.30723548157811664,0.2282632692438763,139
0,14,18,14,6,23,mse,29,0.040908788470094534,0.040752619735035765,0.05719690142574563,0.28249389163447797,0.2007012431454433,150
0,14,18,14,7,23,mse,59,0.0450727021661356,0.045423193101274725,0.0560194167855391,0.2701230966626586,0.18692023009622682,161
0,14,18,14,7,23,mred,57,0.041221717637866,0.0403738127978069,0.06385819580328339,0.29486468660629733,0.2144822561946598,161
0,14,18,14,8,23,mse,117,0.04250994626980899,0.04263721447625061,0.05586319136511549,0.2763084941485683,0.19381073662083506,172
0,14,18,14,8,23,mred,115,0.040377217336489885,0.03989128287304498,0.05992114156643534,0.28867928912038765,0.20759174967005156,172
0,14,18,14,9,23,mse,235,0.043690473116869355,0.04393695612849513,0.055753045359920074,0.27321579540561347,0.19036548335853093,183
0,14,18,14,9,23,mred,230,0.040377217336489885,0.03989128287304498,0.05992114156643534,0.28867928912038765,0.20759174967005156,183
0,14,18,14,10,23,mse,470,0.043690473116869355,0.04393695612849513,0.055753045359920074,0.27321579540561347,0.19036548335853093,194
0,14,18,14,10,23,mred,459,0.04045234681793665,0.03987798557252868,0.06079966731428218,0.29022563849186506,0.20931437630120361,194
0,14,18,14,11,23,mse,939,0.043374277624451264,0.04359207111205393,0.05574524015097077,0.27398897009135215,0.191226796674107,205
0,14,18,14,11,23,mred,919,0.040404907487109315,0.03987513086923704,0.06035111250055742,0.2894524638061264,0.2084530629856276,205
0,14,18,16,5,23,mse,15,0.05193030692775247,0.052529622489012516,0.0601259498975088,0.2613380393638304,0.17650777257387873,129
0,14,18,16,5,23,mred,14,0.04991499308682641,0.048273751660017794,0.07534687053643413,0.3105821700729084,0.23140725440228685,129
0,14,18,16,6,23,mse,29,0.040753029312867076,0.04061389921505259,0.057473303182900316,0.2859601047183694,0.20395751348808278,138
0,14,18,16,7,23,mse,59,0.04464712336670557,0.0450195312495312,0.055887523346137516,0.2736490720410999,0.19023264303098078,147
0,14,18,16,7,23,mred,58,0.040753029312867076,0.04061389921505259,0.057473303182900316,0.2859601047183694,0.20395751348808278,147
