top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_05_csd,signed,2000,136442.22361743893,0.0032019853131684587,1483744.046653835,0.013241160063856451,0.009869945654656327
stdm_tune_05_csd,cell_boundaries,2304,0.003138733972223793,0.00304161819411727,0.004297788866528564,0.012529183272272279,0.01080743712265215
stdm_tune_05_csd,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_tune_05_csd,independent_200k,200000,0.003144307926747496,0.003137147606856185,0.004005687226337862,0.017138063036555864,0.010010702417461744
stdm_input_mask6,random_200k,200000,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673
stdm_input_mask6,grid_low,65536,0.0049111244735992364,0.004934592206862162,0.006155236208939184,0.024176520270270316,0.0158601588628763
stdm_input_mask6,grid_high,65536,0.005099599689183456,0.005166949833490825,0.006394882336257356,0.024977407957139645,0.01685178155574238
stdm_input_mask6,signed,2000,181772.18249958838,0.005141416274475324,1931173.0612219293,0.02504909618097779,0.016203593228963555
stdm_input_mask6,cell_boundaries,2304,0.006370898352678311,0.00614039061665363,0.008888728923227682,0.024658099774053324,0.020880572972885283
stdm_input_mask6,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_input_mask6,independent_200k,200000,0.005090731911185125,0.005123924720941581,0.006385576183367391,0.0265328216102545,0.01659343812581496
stdm_input_mask6_narrow,random_200k,200000,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673
stdm_input_mask6_narrow,grid_low,65536,0.0049111244735992364,0.004934592206862162,0.006155236208939184,0.024176520270270316,0.0158601588628763
stdm_input_mask6_narrow,grid_high,65536,0.005099599689183456,0.005166949833490825,0.006394882336257356,0.024977407957139645,0.01685178155574238
stdm_input_mask6_narrow,signed,2000,181772.18249958838,0.005141416274475324,1931173.0612219293,0.02504909618097779,0.016203593228963555
stdm_input_mask6_narrow,cell_boundaries,2304,0.006370898352678311,0.00614039061665363,0.008888728923227682,0.024658099774053324,0.020880572972885283
stdm_input_mask6_narrow,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_input_mask6_narrow,independent_200k,200000,0.005090731911185125,0.005123924720941581,0.006385576183367391,0.0265328216102545,0.01659343812581496
stdm_input_effective17,random_200k,200000,0.005087274960441342,0.005124699580158523,0.006384121453862561,0.025353320779364922,0.016619131936168673
stdm_input_effective17,grid_low,65536,0.0049111244735992364,0.004934592206862162,0.006155236208939184,0.024176520270270316,0.0158601588628763
stdm_input_effective17,grid_high,65536,0.005099599689183456,0.005166949833490825,0.006394882336257356,0.024977407957139645,0.01685178155574238
stdm_input_effective17,signed,2000,181772.18249958838,0.005141416274475324,1931173.0612219293,0.02504909618097779,0.016203593228963555
stdm_input_effective17,cell_boundaries,2304,0.006370898352678311,0.00614039061665363,0.008888728923227682,0.024658099774053324,0.020880572972885283
stdm_input_effective17,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_input_effective17,independent_200k,200000,0.005090731911185125,0.005123924720941581,0.006385576183367391,0.0265328216102545,0.01659343812581496
stdm_tune_00_midpoint,random_200k,200000,0.004796667012809207,0.004534240033848713,0.006485953566426254,0.035739547376864904,0.016232399132885572
stdm_tune_00_midpoint,grid_low,65536,0.004673419374400997,0.004404188343138591,0.006355725942891653,0.032516891891891934,0.016004665310516402
stdm_tune_00_midpoint,grid_high,65536,0.0047651947151656875,0.004512713631039239,0.00642461483608609,0.03318808055664423,0.016018240039779606
stdm_tune_00_midpoint,signed,2000,227389.78667415472,0.0045220595888030195,2974766.235953166,0.02524381408454433,0.01606657881519119
stdm_tune_00_midpoint,cell_boundaries,2304,0.006322555944300073,0.005825745888246174,0.008819498972221746,0.02965656377456703,0.02044647137576848
stdm_tune_00_midpoint,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_00_midpoint,independent_200k,200000,0.004801133314710549,0.004529140030184109,0.006497967979571667,0.03479131720296139,0.016285866124265035
stdm_tune_04_midpoint,random_200k,200000,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152
stdm_tune_04_midpoint,grid_low,65536,0.003076079793355947,0.0028763840356328873,0.0044644139865818305,0.023466050624847374,0.013005640431836035
stdm_tune_04_midpoint,grid_high,65536,0.0031392847171031746,0.002941614351007293,0.004401133165748303,0.024216447275670266,0.012825611030245819
stdm_tune_04_midpoint,signed,2000,191541.80347320795,0.003080597421746024,2501426.0082370252,0.02005992793908412,0.013080278027908633
stdm_tune_04_midpoint,cell_boundaries,2304,0.003853860992858341,0.003563330811905278,0.0057047178219258275,0.023657133451188417,0.016027735846369903
stdm_tune_04_midpoint,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
