top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_dw_d0,dw,,0,23,native_dw,RTZ,uniform_10k,10000,5.4285029883856095e-08,4.301710533163412e-08,-4.4735367138848405e-08,1.1723626154496735e-07,4.4735367138848405e-08
fig8_dw_d4,dw,,4,19,native_dw,RTZ,uniform_10k,10000,1.0122999975905517e-06,8.197093033001158e-07,-6.703755210237361e-07,3.168539369979926e-06,8.212756289767809e-07
fig8_dw_d8,dw,,8,15,native_dw,RTZ,uniform_10k,10000,1.6031309423054903e-05,1.2905829393877324e-05,-1.0521735842068659e-05,4.8783156917522044e-05,1.2970321063339885e-05
fig8_dw_d12,dw,,12,11,native_dw,RTZ,uniform_10k,10000,0.0002559891726407568,0.00020664102913438675,-0.0001688240429709745,0.0008523745962458918,0.00020720432459900247
fig8_dw_d14,dw,,14,9,native_dw,RTZ,uniform_10k,10000,0.0010271954535838541,0.0008351342004293041,-0.0006735115429709761,0.003594190356600718,0.0008354480681663575
fig8_dw_d15,dw,,15,8,native_dw,RTZ,uniform_10k,10000,0.002084229606767751,0.0016859776190171665,-0.00136013263672098,0.007456228378474358,0.0016936717592428178
fig8_dw_d16,dw,,16,7,native_dw,RTZ,uniform_10k,10000,0.004139280981852891,0.003357765480366948,-0.002701734199220976,0.013680968150276758,0.003368939457018854
fig8_dw_d17,dw,,17,6,native_dw,RTZ,uniform_10k,10000,0.008198745420190763,0.006641507451679138,-0.005212281074220952,0.027113337217537822,0.006662364235591149
fig8_dw_d18,dw,,18,5,native_dw,RTZ,uniform_10k,10000,0.016187765729297875,0.013137359849879434,-0.010088062324220952,0.04993344305638885,0.013172011872789631
fig8_dw_d18_common,dw,,18,5,common,RTZ,uniform_10k,10000,0.016187765729297875,0.013137359849879434,-0.010088062324220952,0.04993344305638885,0.013172011872789631
fig8_dw_d18_rne,dw,,18,5,native_dw,RNE,uniform_10k,10000,0.012374208941719401,0.009293829474575,0.0010838126757790232,0.03936148835388874,0.00965038142075884
fig8_pace_l3_d17_historical,pace,3,17,6,historical,author,uniform_10k,10000,0.015693120852821176,0.011359434043612364,-0.009539624824220943,0.045018462480954965,0.012112377346395012
fig8_pace_l1_d18_delivered,pace,1,18,5,common_delivered_adders,author,uniform_10k,10000,0.05089347221623102,0.030773826985191596,-0.014422437324220959,0.14244839498121858,0.033738752317658494
fig8_pace_l2_d18_delivered,pace,2,18,5,common_delivered_adders,author,uniform_10k,10000,0.031487526643938335,0.021380919233362355,-0.011541187324220943,0.10047711911168485,0.023040631451922786
fig8_pace_l1_d0,pace,1,0,23,common,author,boundaries,1733,0.012071642748885891,0.0008393567035971025,-0.0006122947734783968,0.12500001490116297,0.0011284429395383776
fig8_pace_l1_d4,pace,1,4,19,common,author,boundaries,1733,0.012071719082662222,0.0008394262556938153,-0.000612464748178039,0.12500090152030596,0.0011285127810608312
fig8_pace_l1_d8,pace,1,8,15,common,author,boundaries,1733,0.012073027603089575,0.0008412821018849413,-0.0006159289027203225,0.1250152066359047,0.0011303738956825054
fig8_pace_l1_d12,pace,1,12,11,common,author,boundaries,1733,0.012094986351663,0.000888769904378903,-0.0006800721677637804,0.12524408848548463,0.0011779303189847232
fig8_pace_l1_d14,pace,1,14,9,common,author,boundaries,1733,0.012181306472364555,0.0011372867491696546,-0.0009391458027176177,0.12597651040414037,0.001426617472386378
fig8_pace_l1_d15,pace,1,15,8,common,author,boundaries,1733,0.012339426543546231,0.0015699176491630585,-0.001342055316566435,0.12695307296234803,0.0018595038333840163
fig8_pace_l1_d16,pace,1,16,7,common,author,boundaries,1733,0.012805480459530475,0.002533215045324397,-0.0022222576391284624,0.12890619807876336,0.002823710130080645
fig8_pace_l1_d17,pace,1,17,6,common,author,boundaries,1733,0.014307419629685373,0.00462716084792666,-0.0041314288739813165,0.13281244831159403,0.004922311054193562
fig8_pace_l1_d18,pace,1,18,5,common,author,boundaries,1733,0.018742048216706622,0.00875778416121052,-0.007958787500640293,0.14062494877725534,0.00905708233587759
fig8_pace_l2_d0,pace,2,0,23,common,author,boundaries,1733,0.00604494720998041,0.0004677380454814186,-0.00030616638412317806,0.06250006332993885,0.0006122733147779953
fig8_pace_l2_d4,pace,2,4,19,common,author,boundaries,1733,0.006045110321684572,0.00046782216735938986,-0.000306396376194507,0.06250185146938869,0.0006123600627927121
fig8_pace_l2_d8,pace,2,8,15,common,author,boundaries,1733,0.006047743632528505,0.0004702014752964815,-0.00031106129089743587,0.06253046170058618,0.0006147805437612435
fig8_pace_l2_d12,pace,2,12,11,common,author,boundaries,1733,0.006093883126397087,0.0005507721812653068,-0.00041353202783302444,0.06298822539974602,0.0006959809312298318
fig8_pace_l2_d14,pace,2,14,9,common,author,boundaries,1733,0.006299183112817875,0.000940722549047805,-0.0008298248996593372,0.06445306923705751,0.0010880302497443142
fig8_pace_l2_d15,pace,2,15,8,common,author,boundaries,1733,0.006714142708250022,0.0015829928294164941,-0.0014536302588630304,0.06640619435347285,0.0017337505776373401
fig8_pace_l2_d16,pace,2,16,7,common,author,boundaries,1733,0.00789230015930753,0.00288471375313412,-0.002709130114604514,0.07031244458630351,0.0030416259394494076
fig8_pace_l2_d17,pace,2,17,6,common,author,boundaries,1733,0.011126504803249934,0.005539698947420801,-0.005163778845129611,0.07812494505196482,0.005704606148320665
fig8_pace_l2_d18,pace,2,18,5,common,author,boundaries,1733,0.019090927979321545,0.010930173007187951,-0.01009561669856297,0.09374994598328745,0.011107978109949406
fig8_pace_l3_d0,pace,3,0,23,common,author,boundaries,1733,0.006476243682891068,0.0007658493771916296,0.00014947140021946947,0.24609367572702467,0.0005450707599995645
fig8_pace_l3_d4,pace,3,4,19,common,author,boundaries,1733,0.006476344188734348,0.0007660566424829243,0.00014904997164911005,0.24609367572702467,0.0005452845687812568
fig8_pace_l3_d8,pace,3,8,15,common,author,boundaries,1733,0.006477990588283529,0.0007713939022664283,0.0001405654069576204,0.24609367572702467,0.0005507265589527956
